0 , 2016-05-23 23:02:15.431000
1 , 2016-05-23 23:02:19.816000
2 , 2016-05-23 23:02:24.163000
3 , 2016-05-23 23:02:28.519000
4 , 2016-05-23 23:02:32.892000
5 , 2016-05-23 23:02:37.550000
6 , 2016-05-23 23:02:42
7 , 2016-05-23 23:02:46.408000
8 , 2016-05-23 23:02:50.861000
9 , 2016-05-23 23:02:55.344000
10 , 2016-05-23 23:02:59.821000
